oidName,goVarName,oid
EXT_KEY_USAGE_ANY,oidExtKeyUsageAny,2.5.29.37.0
EXT_KEY_USAGE_SERVER_AUTH,oidExtKeyUsageServerAuth,1.3.6.1.5.5.7.3.1
EXT_KEY_USAGE_CLIENT_AUTH,oidExtKeyUsageClientAuth,1.3.6.1.5.5.7.3.2
EXT_KEY_USAGE_CODE_SIGNING,oidExtKeyUsageCodeSigning,1.3.6.1.5.5.7.3.3
EXT_KEY_USAGE_EMAIL_PROTECTION,oidExtKeyUsageEmailProtection,1.3.6.1.5.5.7.3.4
EXT_KEY_USAGE_IPSEC_END_SYSTEM,oidExtKeyUsageIPSECEndSystem,1.3.6.1.5.5.7.3.5
EXT_KEY_USAGE_IPSEC_TUNNEL,oidExtKeyUsageIPSECTunnel,1.3.6.1.5.5.7.3.6
EXT_KEY_USAGE_IPSEC_USER,oidExtKeyUsageIPSECUser,1.3.6.1.5.5.7.3.7
EXT_KEY_USAGE_TIME_STAMPING,oidExtKeyUsageTimeStamping,1.3.6.1.5.5.7.3.8
EXT_KEY_USAGE_OCSP_SIGNING,oidExtKeyUsageOCSPSigning,1.3.6.1.5.5.7.3.9
EXT_KEY_USAGE_DVCS,oidExtKeyUsageDVCS,1.3.6.1.5.5.7.3.10
EXT_KEY_USAGE_SBGP_CERT_AA_SERVICE_AUTH,oidExtKeyUsageSBGPCertAAServiceAuth,1.3.6.1.5.5.7.3.11
EXT_KEY_USAGE_EAP_OVER_PPP,oidExtKeyUsageEAPOverPPP,1.3.6.1.5.5.7.3.13
EXT_KEY_USAGE_EAP_OVER_LAN,oidExtKeyUsageEAPOverLAN,1.3.6.1.5.5.7.3.14
EXT_KEY_USAGE_MICROSOFT_CERT_TRUST_LIST_SIGNING,oidExtKeyUsageMicrosoftCertTrustListSigning,1.3.6.1.4.1.311.10.3.1
EXT_KEY_USAGE_MICROSOFT_TIMESTAMP_SIGNING,oidExtKeyUsageMicrosoftTimestampSigning,1.3.6.1.4.1.311.10.3.2
EXT_KEY_USAGE_MICROSOFT_SERVER_GATED_CRYPTO,oidExtKeyUsageMicrosoftServerGatedCrypto,1.3.6.1.4.1.311.10.3.3
EXT_KEY_USAGE_MICROSOFT_SGC_SERIALIZED,oidExtKeyUsageMicrosoftSGCSerialized,1.3.6.1.4.1.311.10.3.3.1
EXT_KEY_USAGE_MICROSOFT_ENCRYPTED_FILE_SYSTEM,oidExtKeyUsageMicrosoftEncryptedFileSystem,1.3.6.1.4.1.311.10.3.4
EXT_KEY_USAGE_MICROSOFT_WHQL_CRYPTO,oidExtKeyUsageMicrosoftWHQLCrypto,1.3.6.1.4.1.311.10.3.5
EXT_KEY_USAGE_MICROSOFT_NT5_CRYPTO,oidExtKeyUsageMicrosoftNT5Crypto,1.3.6.1.4.1.311.10.3.6
